"Time"	"Port_1"	"Port_2"	"Port_3"	"Mean"	"SD"
"0"	"0.891846653283708"	"0.0010379899884153"	"0.453137601221359"	"0.448674081497827"	"0.445421105142907"
"0.0833333333333333"	"0.891846653283708"	"-0.00513123127801866"	"0.416276438746773"	"0.434330620250821"	"0.448761402585542"
"0.166666666666667"	"0.904473769588887"	"-0.0165774426187514"	"0.407793434253477"	"0.431896587074537"	"0.460998433141835"
"0.25"	"0.904473769588887"	"-0.0146211527006073"	"0.414130703847777"	"0.434661106912019"	"0.459891282948555"
"0.333333333333333"	"0.892329202835136"	"-0.0165817704197294"	"0.410372010059647"	"0.428706480825018"	"0.454732783004988"
"0.433333333333333"	"0.891846653283708"	"-0.0146211527006073"	"0.418439271315214"	"0.431888257299438"	"0.453383532166208"
"0.516666666666667"	"0.904473769588887"	"-0.0175503255641854"	"0.405713469660397"	"0.430878971228366"	"0.461526905892372"
"0.6"	"0.891846653283708"	"-0.0165774426187514"	"0.407793434253477"	"0.427687548306144"	"0.454538685190277"
"0.7"	"0.891846653283708"	"-0.0180354625140461"	"0.407793434253477"	"0.427201541674379"	"0.455251438369386"
"0.783333333333333"	"0.891846653283708"	"-0.019003142865834"	"0.409889460508219"	"0.427577656975364"	"0.455682446454887"
"0.9"	"0.904473769588887"	"-0.0185197339202717"	"0.403649322441593"	"0.429867786036736"	"0.462054983475988"
"0.983333333333333"	"0.904473769588887"	"-0.019003142865834"	"0.399567530467245"	"0.428346052396766"	"0.462410590766001"
"1.08333333333333"	"0.904473769588887"	"-0.0199673856247598"	"0.401600753840821"	"0.428702379268316"	"0.46281609299893"
"1.16666666666667"	"0.904473769588887"	"-0.0194856924172622"	"0.401600753840821"	"0.428862943670815"	"0.46258263273"
"1.26666666666667"	"0.891846653283708"	"-0.0194856924172622"	"0.397549424135871"	"0.423303461667439"	"0.456211698575443"
"1.35"	"0.891846653283708"	"-0.019003142865834"	"0.401600753840821"	"0.424814754752898"	"0.455868407728782"
